,name,ingredients,ingredients_pre,url,serve
0,단호박 스프,"단호박2개,샐러리1개,당근1개,양파1개,샬롯1개,야채육수(혹은 물)5컵,우유2컵,메이플시럽(꿀)2큰술,통후추약간,타임약간,클로브2개,월계수잎2개,시나몬스틱2개","['샬롯', '클로브', '시나몬스틱', '우유', '메이플시럽', '당근', '월계수잎', '샐러리', '양파', '단호박', '야채육수', '통후추']",https://www.haemukja.com/recipes/5980,10
1,베이컨 숙주 볶음,"팽이버섯1/3개,마늘8알,청양고추1개,파1/4개,양파1/2개,베이컨120g,숙주200g,고추기름4큰술,굴소스2큰술,통후추2작은술,설탕1작은술,소금약간,깨약간","['굴소스', '파', '고추기름', '소금', '숙주', '팽이버섯', '마늘', '깨', '베이컨', '양파', '청양고추', '설탕', '통후추']",https://www.haemukja.com/recipes/5979,2
2,베트남 국민소스 '느억맘',"피쉬소스4큰술,라임즙3큰술,다진고추1티스푼,다진마늘1티스푼,오일 (혹은 물)2큰술,꿀2~3큰술,물1/2컵,라임 제스터1개","['라임즙', '고추', '피쉬소스', '마늘', '꿀', '라임 제스터', '오일']",https://www.haemukja.com/recipes/5978,4
3,소고기 장조림,"소고기양지650g,메추리알30알,대파2대,양파1개,통마늘20알,생강30g,꽈리고추200g,육수4L,진간장2.5컵,설탕5큰술,매실액5큰술,물엿1/2컵,다시마1장,월계수잎3장,통후추약간,소주1/2컵,참기름2큰술","['메추리알', '육수', '물엿', '소주', '진간장', '매실액', '대파', '통후추', '생강', '소고기양지', '월계수잎', '꽈리고추', '참기름', '양파', '통마늘', '설탕', '다시마']",https://www.haemukja.com/recipes/5977,3
4,연어 스테이크 & 레몬 머스터드 드레싱,"연어150g,로메인 (혹은 청상추)적당량,토마토1개,파프리카1개,적양파1/4개,아보카도1개,페타치즈약간,올리브오일1/2컵,레몬즙1/4컵,다진마늘2 티스푼,디존 머스터드1 큰술,꿀1 티스푼,드라이 바질1 티스푼,드라이 오레가노1 티스푼,소금약간,후추약간,레몬 제스트 (옵션)약간,셀러리 새싹 (옵션)약간,다진 파슬리 (옵션)약간","['토마토', '연어', '적양파', '디존 머스터드', '파프리카', '소금', '페타치즈', '꿀', '후추', '올리브오일', '드라이 바질', '아보카도', '마늘', '드라이 오레가노', '파슬리', '레몬 제스트', '레몬즙', '로메인', '셀러리 새싹']",https://www.haemukja.com/recipes/5976,1
5,로스트 치킨 스테이크,"닭한마리,간장 절임 마늘10알,할라피뇨5조각,발사믹크림약간,칠리소스약간,감자1개,소금약간,후추약간","['할라피뇨', '감자', '소금', '칠리소스', '닭한마리', '후추', '발사믹크림', '간장 절임 마늘']",https://www.haemukja.com/recipes/5975,1
6,토마토 소스 비법,"토마토1 kg,마늘3쪽,양파1/2개,샐러리1/2줄기,소금1스푼 반,꿀 (설탕)1티스푼,액상치킨스탁2티스푼,월계수잎2개,드라이타임1티스푼,바질1티스푼,오레가노1티스푼,올리브오일약간","['올리브오일', '드라이', '액상치킨스탁', '바질', '소금', '오레가노', '토마토', '월계수잎', '마늘', '샐러리', '꿀', '양파']",https://www.haemukja.com/recipes/5974,3
7,간장 조림닭,"닭 (볶음용)1kg,통마늘10알,페페론치노4개,청양고추4개,부추1줌,진간장4큰술,생수5큰술,춘장1/2큰술,물엿2큰술,맛술2큰술,흑설탕1큰술,참기름1큰술,통깨약간","['춘장', '물엿', '통깨', '생수', '흑설탕', '부추', '페페론치노', '맛술', '닭', '진간장', '참기름', '통마늘', '청양고추']",https://www.haemukja.com/recipes/5973,2
8,초간단 순두부계란국,"순두부1모,계란2알,쪽파한줌,국간장1T,소금1/2t,다진마늘1T,해물다시팩1개,진간장반컵,고춧가루1T,설탕1t,다진마늘1/2T,깨1t,청양고추1개","['계란', '쪽파', '순두부', '해물다시팩', '국간장', '소금', '고춧가루', '마늘', '진간장반컵', '깨', '청양고추', '설탕']",https://www.haemukja.com/recipes/5972,1
9,에어프라이어로 만드는 고구마 맛탕,"고구마2개,식용유1스푼,올리고당3스푼,설탕2스푼","['식용유', '올리고당', '설탕', '고구마']",https://www.haemukja.com/recipes/5971,3
10,다이어트 김밥! 밥없는 김밥,"김2장,오이2개,당근1개,치즈5장,계란3개,참치1캔,깻잎6장,맛살(크래미)1팩,마요네즈약간,파프리카(빨강,노랑)2개","['오이', '계란', '마요네즈', '맛살', '김', '당근', '파프리카', '깻잎', '치즈', '참치']",https://www.haemukja.com/recipes/5970,2
