,Title,Ingredients,Instructions,URL
0,비건 요거트,"['두유500g', '비건 그릭요거트 스타터 (또는 비건 유산균 파우더)2~4g']","['실온의 두유에 유산균 스타터를 넣고 녹여주세요. \r\n(tip. 이미 발효한 비건 요거트가 있다면 두유의 10-15%를 넣고 섞어주세요)', '뚜껑을 닫고 25-35도에서 8~12시간 정도 발효해 주세요.\r\n(tip. 푸딩처럼 찰랑거리면 발효가 잘 된 거예요)\r\n(tip. 실내 온도 및 환경에 따라 다를 수 있어요)', '냉장고에서 24시간 굳혀주세요.', '볼에 요거트를 담고 과일, 그래놀라를 곁들여 맛있게 즐겨주세요.']",https://wtable.co.kr/recipes/Ksk7xr793cPTXLvY1ZSdspRF?location=recipe_home
1,키토 치즈 스콘,"['녹인 무염 버터70g', '우유60g', '달걀1개', '잘게 썬 체다치즈65g', '아몬드 가루220g', '오트 파이버 가루 (귀리 식이섬유)25g', '파마산 치즈 가루45g', '에리스리톨 (알룰로스 가루, 라칸토로 대체 가능)18g', '베이킹파우더9g']","['가루 재료에 녹인 버터를 넣고 주걱으로 섞어주세요', '달걀과 우유를 섞은 후 조금씩 부어가며 섞어주세요. \r\n(tip. 달걀물은 15% 정도 남겨주세요)', '잘게 썬 체다치즈를 넣고 섞어 한 덩이로 뭉쳐주세요.', '반죽을 종이 포일에 감싸 냉장고에서 30분간 휴지시켜주세요.', '밀대로 가볍게 밀어준 후 동그란 틀로 찍어내 주세요. \r\n(tip. 두께는 2cm 정도로 만들어주세요)\r\n(tip. 틀이 없다면 원하는 모양으로 잘라 만드셔도 좋아요)', '2개씩 겹쳐 이음새를 가볍게 정리한 후 오븐 팬에 담고 스콘 윗면에 남겨둔 달걀 물을 발라주세요.', '190도로 예열한 오븐에서 10분 180도에서 7~8분 정도 구워주세요.\r\n(tip. 오븐에 따라 굽는 시간 및 온도가 다를 수 있으니 조절하여 만들어주세요)']",https://wtable.co.kr/recipes/kkXv9nQLFcD2mPCbFUvfWd84?location=recipe_home
2,비건 바나나 브라우니,"['바나나90g', '메이플 시럽150g', '두유90g', '포도씨 오일45g', '식초15g', '통밀가루90g', '아몬드 가루30g', '카카오 가루45g', '베이킹파우더6g', '다진 초코칩60g', '카라멜라이징용 황설탕10g', '바나나 슬라이스 (0.5cm 두께)9조각']","['볼에 바나나를 넣고 으깬 후 메이플 시럽, 두유, 식초를 차례로 넣고 섞어주세요.', '포도씨 오일을 조금씩 흘리면서 섞어주세요.', '가루류를 체 쳐 넣고 다진 초코칩을 넣어 골고루 섞어주세요.', '오븐 틀에 반죽을 붓고 장식용 바나나 슬라이스를 올린 후 황설탕을 뿌려주세요.', '180도 10분, 160도 10분간 구운 후 식혀주세요.\r\n(tip. 오븐의 성능에 따라 굽는 시간에 차이가 있을 수 있어요)']",https://wtable.co.kr/recipes/Ap7TKd9SaGWuKd4mGju3VsJy?location=recipe_home
3,김치말이두부찜,"['신김치½포기', '두부1모', '느타리 한줌100g', '양파½개', '대파½대', '채수2+½컵', '들기름2큰술', '간장(국간장)1큰술', '된장½큰술', '고춧가루1큰술', '김치국물⅓컵', '다진 마늘1큰술', '설탕1작은술', '후춧가루약간']","['양파는 굵게 채 썰고, 대파는 어슷하게 썰어주세요. 느타리버섯은 밑동을 자르고 먹기 좋게 찢고 두부는 손가락 두께로 잘라주세요. 볼에 양념 재료를 넣고 섞어주세요. \r\n(tip. 김치의 염도에 따라 김치 국물의 양을 가감해 주세요.)', '달군 팬에 들기름 1큰술을 두르고 두부를 돌려가며 노릇하게 구워주세요.', '김치를 넓게 깔고, 구운 두부를 올려 돌돌 말아주세요.', '냄비에 들기름 1큰술을 두르고 대파(1/2분량)을 넣어 볶다가 파의 향이 올라오면 느타리버섯과 양파를 넣어 볶아주세요. 김치말이두부와 양념, 채수를 넣고 중불에서 25분 정도 끓여주세요. \r\n(tip. 김치말이두부의 이음새 부분이 냄비의 바닥이 가도록 놓아야 풀리지 않아요. 채수를 넣을 때는 냄비의 가장자리부터 천천히 부어주세요. 기호에 따라 끓이는 중간에 채수를 가감해서 국물의 양을 조절해 주세요.)', '김치가 부드럽게 익으면 기호에 따라 부족한 간은 소금을 가감해서 조절한 후 나머지 대파 반을 올려 맛있게 즐겨주세요.']",https://wtable.co.kr/recipes/w9xaXdiN1Kb3cmFmLy6pq5od?location=recipe_home
4,쪽파 크림치즈 연어베이글,"['베이글2개', '훈제연어50g', '적양파약간', '케이퍼약간', '딜 (생략 가능)약간', '쪽파2대', '크림치즈300g', '설탕1큰술', '소금약간']","['쪽파는 송송 썰고, 적양파는 얇게 링으로 썰어 찬물에 5분 정도 담갔다가 물기를 빼주세요.\r\n(tip. 적양파는 찬물에 담갔다가 사용하면 매운맛을 제거할 수 있어요)', '볼에 크림치즈를 넣어 부드럽게 풀은 후 설탕, 소금, 쪽파를 넣어 섞어주세요.\r\n(tip. 치즈 맛이 강하게 나는 필라델피아 크림치즈보다는 부드러운 맛이 나는 알라 크림치즈나 베이킹용 크림치즈를 사용해서 만드시는 것을 추천해요)', '베이글을 반으로 잘라 노릇하게 구워주세요.', '쪽파 크림치즈 베이글 만드는 법:\r\n베이글에 쪽파 크림치즈를 넉넉하게 바르고, 뚜껑에도 적당량 발라 뚜껑을 덮어 기본 쪽파 크림치즈 베이글을 만들어주세요.', '연어 크림치즈 베이글 만드는 법:\r\n베이글에 쪽파 크림치즈를 넉넉하게 발라주세요. 훈제연어, 케이퍼, 적양파, 딜을 올린 후 크림치즈를 바른 베이글을 올려 연어 베이글을 완성해 주세요.', '먹기 좋은 크기로 잘라 맛있게 즐겨주세요.\r\n(기호에 따라 루꼴라, 토마토 등의 재료를 추가로 넣어 만드시면 더욱 풍성하게 드실 수 있답니다)']",https://wtable.co.kr/recipes/yPPkoGGTpzUWC2tSea5mJWNn?location=recipe_home
5,비건 참나물 페스토,"['참나물80g', '잣 (또는 캐슈넛)30g', '마늘1쪽', '올리브오일 (엑스트라버진)½컵', '소금½큰술', '후춧가루약간']","['냄비에 유리용기를 거꾸로 세워 넣고 찬물부터 끓여 열탕 소독한 후 건조시켜주세요.', '참나물은 잎과 줄기를 떼어내고 깨끗이 씻어 물기를 제거해 주세요.', '달군 팬에 잣을 넣고 약한 불에서 노릇하게 볶아주세요.', '블렌더에 참나물과  잣, 마늘, 올리브오일, 소금을 넣고 곱게 갈아주세요. \r\n(tip 기호에 따라 소금, 후추를 가감해서 페스토의 간을 맞추고 올리브유로 농도를 조절해 주세요. 참나물 특유의 풋내가 느껴질 경우 레몬즙 1큰술을 추가해 주세요.)', '유리용기에 참나물 페스토를 담고 윗면에 약간의 올리브오일을 부어 공기를 차단시켜주세요.\r\n(tip 냉장고에서는 1~2일 정도 보관 가능하고 장기간 보관하실 때는 소분해서 냉동고에 넣어 보관해 주세요.)\r\n(tip 빵에 곁들여 먹거나 샐러드 드레싱, 파스타 소스 등으로 활용해 보세요.)']",https://wtable.co.kr/recipes/qAV8NaTqcdPbJWt2z3P2PwvH?location=recipe_home
6,비건 참나물 페스토 파스타,"['참나물 페스토3큰술', '스파게티면2줌 (160g)', '마늘3쪽', '면수¾컵', '소금약간', '후춧가루약간', '올리브오일 (엑스트라버진)4큰술', '참나물반줌 (40g)', '구운 잣15g']","['끓는 물에 약간의 소금을 넣고 참나물을 살짝 삶아 물기를 빼고 먹기 좋게 썰어주세요. 잣은 종이를 깔고 곱게 다지고 마늘은 편으로 썰어주세요.', '끓는 물에 스파게티 면을 넣고 6분간 삶아낸 후 면은 채반에 건지고, 면수는 따로 덜어 주세요. \r\n(tip 스파게티 면은 포장지에 적힌 조리시간 보다 1분정도 덜 삶아 삶아주세요.)', '달군 팬에 올리브유 3큰술을 두르고 마늘을 넣어 약한 불에서 노릇하게 볶아주세요.', '볶은 마늘에 스파게티 면과 참나물, 면수를 넣어 볶은 후 불을 끄고 참나물 페스토와 잣가루 (½분량), 약간의 소금과 후춧가루를 넣어 간을 맞춰주세요. \r\n(tip 기호에 따라 페스토 양을 가감하고 페스토에 열이 가해지면 색이 탁해지기 때문에 불 위에서 볶지 않고 불을 끄고 섞어주세요.)', '접시에 참나물 페스토 파스타를 담고 올리브유 1큰술을 두른 후 기호에 따라 잣가루와 후춧가루를 뿌려 맛있게 즐겨주세요.']",https://wtable.co.kr/recipes/MDjZmb6gi37Xxaq979LtxbKu?location=recipe_home
7,김치 로제파스타,"['스파게티 면두 줌 (160g)', '배추김치(숙성)½컵 (70g)', '베이컨4장', '냉동 새우살10마리', '만가닥 버섯반 줌', '양파½개', '마늘3쪽', '청양고추1개', '체다 슬라이스 치즈2장', '설탕¼작은술', '버터1큰술', '올리브유약간', '파슬리가루약간', '소금약간', '후춧가루약간', '토마토 소스1컵', '우유1+½컵', '면수½컵', '파르메산 치즈가루1큰술']","['양파는 채를 썰고 만가닥 버섯은 밑동을 제거해 주세요. 마늘은 편으로 썰고 청양고추는 송송 썰어주세요. 배추김치는 양념을 털어낸 후 베이컨과 함께 한입 크기로 썰고 새우살은 해동한 후 흐르는 물에 헹궈 체에 밭쳐 물기를 빼주세요.', '스파게티 면은 끓는 물에 약간의 소금과 올리브유를 넣고 6분간 삶아주세요.\r\n(tip 스파게티 면은 표기되어 있는 조리시간 보다 1분 정도 덜 삶아 채반에 건져주세요. 면 삶은 국물인 면수는 1/2컵 정도 따로 빼서 준비해주세요)', '달군 팬에 올리브유를 두르고 마늘과 양파를 넣어 볶다가 베이컨과 배추김치를 넣은 후 설탕을 뿌려 3분 정도 볶아주세요.', '배추김치가 반쯤 투명하게 볶아지면 새우살과 만가닥 버섯, 양념 재료를 넣고 1분 정도 끓이다가 체다 슬라이스치즈를 넣어 고루 섞어주세요. \r\n(tip 기호에 따라 체다 슬라이스치즈 대신 생크림 1컵 정도 넣어 만드시면 크림 향이 진한 파스타를 만드실 수 있어요.)', '삶은 스파게티 면과 청양고추, 버터를 넣어 고루 섞고 약간의 소금, 후춧가루를 넣어 간을 해주세요. \r\n(tip 우유를 가감해서 파스타의 농도를 조절해 주세요.)', '접시에 김치 로제 파스타를 담고 후춧가루와 파슬리 가루를 뿌려 맛있게 즐겨주세요.']",https://wtable.co.kr/recipes/SzZvSjHCPgq9R8ZBVhuqjvEJ?location=recipe_home
8,두부 유부초밥,"['두부300g', '초밥용 유부8장', '초밥 소스1큰술', '토마토1개', '실파1줄기', '양파¼개', '소금약간', '후춧가루약간', '올리브오일1큰술', '레몬즙½큰술']","['두부는 면 보자기에 감싸 물기를 꽉 짜주세요. 유부는 속을 벌려 준비해주세요.', '실파는 송송 썰어주세요. 토마토는 씨를 제거하고 큐브모양으로 썰어주세요. 양파는 다져주세요.', '토마토와 양파, 실파에 토마토 양념 재료를 넣어 버무려주세요.', '으깬 두부에 시판용 초밥 소스를 넣어 섞은 후 유부에 넣고 버무려둔 토마토를 올려주세요.']",https://wtable.co.kr/recipes/iXJJcB7SbmqwkL5dvhfpJrV3?location=recipe_home
9,묵은지 유부 쌈밥,"['밥2공기', '묵은지 (또는 잘익은 배추김치)⅓쪽', '달걀2개', '오이½개', '냉동유부8장', '미나리한줌', '된장2큰술', '고추장½큰술', '올리고당1큰술', '고춧가루1작은술', '다진 마늘1작은술', '참기름1작은술', '깨약간', '다시마 육수⅓컵 (70ml)', '간장1큰술', '맛술1큰술', '설탕1큰술']","['묵은지는 김칫소를 잘 털어내고 깨끗이 씻어 물기를 제거해 주세요. \r\n(tip 길이가 긴 배춧잎은 심지 부분을 잘라 준비해 주세요.)', '냉동 유부를 먹기 좋은 크기로 채 썰어 주세요. 체에 밭쳐 끓는 물을 끼얹은 후 찬물로 헹구고 물기를 짜주세요. 달군 팬에 유부를 넣어 볶아주세요. 다시마 육수를 넣어 유부에 잘 스며들게 한 후 간장, 맛술, 설탕을 넣어 졸이듯 볶아주세요.\r\n(tip 물기가 없어질 때까지 졸여주세요.)', '오이는 흐르는 물에 씻어 6cm 길이로 채 썰어주세요. 물에 약간의 소금을 넣고 끓여 미나리를 살짝 데친 후 물기를 제거해 주세요.', '달걀은 약간의 소금을 넣고 알끈을 제거해 주세요. 지단을 도톰하게 부쳐준 후, 적당한 크기로 썰어주세요.', '볼에 쌈장 재료를 넣고 고루 섞어주세요.', '따뜻한 밥에 소금 ½작은술과 참기름 1큰술을 넣어 고루 섞어주세요.', '묵은지를 깔고 밥-쌈장-지단-오이-유부 조림 순으로 얹고 돌돌 말은 후 미나리로 묶어주세요.', '맛있게 즐겨주세요.']",https://wtable.co.kr/recipes/AEPVdyH7WzcNSwZquHsxHsoP?location=recipe_home
