,title,views,ingredients,peoples,times,levels,url
0,청한라봉청,"조회수 2,984",청한라봉:1k|설탕:1k|유리병:1개,"6인분,이상",60분 이내,초급,https://www.10000recipe.com/recipe/6838310
1,컵을 먹을 수 있다고? 제일 맛있는컵 쿠키컵 만들기,"조회수 3,958",버터:150g|빅력분:290g|흰설탕:50g|황설탕:50g|달걀:1개|초코칩:120g|소금:1꼬집|코팅초콜릿:50g,"6인분,이상",120분 이내,중급,https://www.10000recipe.com/recipe/6838309
2,김치만두와 야채만두 만두속 만들기 ,조회수 3.9만,살코기:다진것:600g|묵은지:배추김치:5포기|만두피:6개|계란:6개|버섯:600g|양파:10개|숙주:500g|단단한:두부:4모|대파:1/2단|당면:1/2|다진마늘:5T|다진생강:1T|후추가루:2T|참기름:2T,5인분,60분 이내,초급,https://www.10000recipe.com/recipe/6838305
3,마리텔 이혜정 요리연구가의 '만능카레' 레시피!,"조회수 6,104",토마토:(체리토마토로:대체):2개|토마토통조림:1/2캔|건고추:슬라이스:(고추:사용):1~2개|베이컨:(생략가능):3줄|다진고기:150g|양파:2개(소)|다진마늘:1T|다진생강(생략):조금|고추가루:1T|큐민가루:1T|카레가루:2T|우스터소스:2T|땅콩버터:(땅콩사용):1T|블루베리잼:(체리잼사용):1T,5인분,30분 이내,초급,https://www.10000recipe.com/recipe/6838302
4,마리텔 이혜정 요리연구가의 '하이라이스' !! 만능카레활용!,"조회수 7,230",양파(중):1개|감자|당근|미니양배추|만능카레:2국자|케첩:1T|돈까스소스:1T|우스터소스:1T,1인분,15분 이내,아무나,https://www.10000recipe.com/recipe/6838297
5,전기밥솥 구운계란 만드는법!!,조회수 6.5만,계란:10알|식초:2숟갈|소금:약간(생략가능)|물:80-100cc,5인분,90분 이내,아무나,https://www.10000recipe.com/recipe/6838295
6,"남은 밥으로 센스있게 만드는 ""비빔밥 버거""","조회수 2,884",소고기:100g|도라지:30g|말린:표고버섯:2개|새싹채소:30g|오이|당근:1/2개씩|약고추장:2큰술|참기름:1작은술|다진파|다진:마늘:1/2작은술씩|소금|식용유:약간씩|(밑간):간장:1/2큰술|(밑간):참기름:1작은술|설탕·다진:마늘:1/2작은술씩,2인분,10분 이내,초급,https://www.10000recipe.com/recipe/6838293
7,"오야코동, 단백한 닭가슴살로 만들었어요.♩","조회수 3,389",닭가슴살:350g|양파:1/2개|대파|달걀:3알|직접:만든:쯔유|다시마:우린물|식용유|깨,1인분,30분 이내,중급,https://www.10000recipe.com/recipe/6838289
8,"제육 덮밥 만들기, 제육 볶음 만들기 - 자취요리","조회수 9,035",돼지고기:200g|당근:1/3개|양파:1/2개|파:1/2쪽|청양고추:1개|밥:1공기|고춧가루:1T|다진마늘:1T|간장:2T|참기름:1T|후추:1/2t|통깨:1/2t,2인분,15분 이내,아무나,https://www.10000recipe.com/recipe/6838288
9,비엔나소세지 치즈말이 고소해요,"조회수 7,092",비엔나소세지:5개|피자치즈:50g,1인분,10분 이내,아무나,https://www.10000recipe.com/recipe/6838286
10,"간단 샌드위치 재료, 마요참치와 채소믹스",조회수 1.2만,식빵:2장|채소믹스:1줌|마요:참치:50g|마요네즈:1T,1인분,15분 이내,아무나,https://www.10000recipe.com/recipe/6838282
11,생새우찌개 김장용 생새우로 끓이기,조회수 1.1만,생새우:70g|애호박:1/2개(180g)|청양고추:1개|마늘:2쪽|고추장:1T|된장:1/2T|고춧가루:1/2T|물:400cc,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/6838281
12,또띠아로 만든 담백한 피자 [포테이토베이컨 피자],"조회수 6,347",또띠아:2장|작은:사이즈:감자:1개|양파:1/2개|베이컨:2줄|바질잎:4~5장|토마토파스타소스:2큰술|모짜렐라치즈:적당량|올리브오일:약간|통후추:약간|오레가노:약간,1인분,15분 이내,초급,https://www.10000recipe.com/recipe/6838279
13,[김치만두] 얼큰한 돼지고기 김치만두 만들기! 만두속 만들기 어렵지않아요~!! -양싸,조회수 6.9만,돼지고기:다짐육:800g|부추:1단|쪽파:1줌|양파:1/2개|김치:1포기|당면:2줌|숙주:1봉|청양고추:10개|만두피(시판용):3팩|간장:6큰술|후추가루:5번(뿌림)|고추가루:1큰술|다진마늘:1큰술,"6인분,이상",30분 이내,초급,https://www.10000recipe.com/recipe/6838278
14,겨울철 영양보급에 효과적인 꼬막무침을 만들어 드세요:) ,"조회수 2,253",꼬막:1kg|굵은:소금:3T|달래:10줄(정도)|다진마늘:1T|대파:1개(검지손가락길이)|참기름:1T|통깨:1T|고추가루:1T|집간장:1T|산간장:2T,4인분,60분 이내,초급,https://www.10000recipe.com/recipe/6838276
15,오늘뭐먹지 김소희셰프 묵은지달걀찜만들기,"조회수 2,588",묵은지|달걀|굴|소금|다시마멸치육수|식용유|가스오부시|쪽파,2인분,30분 이내,아무나,https://www.10000recipe.com/recipe/6838274
16,술안주의 정석 육포만들기!,"조회수 5,676",소고기우둔:1kg|배:1/2개|소주:1/2컵|간장:1/2컵|설탕:1+1/3Ts|매실청:2Ts|꿀:1Ts|배:1/2개|양파:1/3개|파:1뿌리|통마늘:1줌|생강:1/2톨|건고추:약간|후추:0.5Ts,"6인분,이상",2시간 이상,중급,https://www.10000recipe.com/recipe/6838270
17,냉장고를 부탁해 이연복 까르복나라,"조회수 6,927",푸실리|배추|베이컨|대파|다진마늘|올리브오일|우유|생크림|소금,2인분,15분 이내,초급,https://www.10000recipe.com/recipe/6838269
