,title,views,ingredients,peoples,times,levels,url
0, 식빵딸기치즈카나페,"조회수 6,338",식빵:3장|딸기:3~4개|슬라이스치즈:3장|마요네즈:약간|데친브로콜리:약간,2인분,15분 이내,아무나,https://www.10000recipe.com/recipe/2469484
1,웰빙 엄마표쿠키 곶감초코쿠키,"조회수 1,434",초코쿠키믹스:1개(250g)|달걀:1개|곶감:5개|버터:70g,"6인분,이상",60분 이내,초급,https://www.10000recipe.com/recipe/2469480
2,콩가루 라떼,"조회수 3,787",우유:120ml|콩가루:1큰술,1인분,30분 이내,아무나,https://www.10000recipe.com/recipe/2469476
3,단호박햄치즈샌드위치,"조회수 3,606",식빵:6장|으깬단호박:100g|다진홍파프리카:1큰술|다진청파프리카:1큰술|노랑파프리카:1큰술|슬라이스치즈:6장|슬라이스햄:3장|마요네즈:1큰술|허니머스타드:1큰술|소금:약간|후추:약간,1인분,30분 이내,초급,https://www.10000recipe.com/recipe/2469454
4,간단하게 만든 색다른 명엽채주먹밥,"조회수 4,820",밥:2인분|명엽채:100g|김밥용김:약간|마요네즈:1큰술|허니머스타드:1큰술|간장:1큰술|물엿(꿀):1큰술|후리가케:1큰술|포도씨유:1큰술|다진마늘:1작은술|참기름:1큰술|통깨:약간,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/2469451
5,블루베리 소보로 밀봉 카스테라,"조회수 1,405",현미쌀가루:100g|달걀흰자:5개|달걀노른자:4개|바닐라오일:2~3방울|황설탕:120g|우유:2큰술|포도씨유:2큰술|블루베리소보로:적당량,3인분,60분 이내,초급,https://www.10000recipe.com/recipe/2469448
6,건자두 초코쿠키,"조회수 1,669",초코쿠키프리믹스:1봉지|버터:40ml|달걀:1개|건자두:9~10개,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/2469446
7,녹차 팥앙금 크림치즈 타르트,"조회수 5,423",박력분:250g|무염버터:80g|슈가파우더:80g|달걀:노른자(달걀:1개):50g|바닐라:에센스:1/2ts|크림치즈:300g|생크림:2Ts|달걀:2개|레몬즙:2ts|옥수수:전분:2ts|설탕:60g|녹차가루:8g:앙금:200g|우유:20g,4인분,2시간 이상,중급,https://www.10000recipe.com/recipe/2469337
8,식빵 계란빵,조회수 1.6만,식빵:4장|계란:2개|베이컨:2장|빵가루|기름|건파슬리가루,1인분,30분 이내,초급,https://www.10000recipe.com/recipe/2469244
9,김치볶음밥 맛있게 만들기,조회수 7.7만,밥:2공기|김장김치:1/4포기|달걀(프라이용):2개|버터:2작은술|소금:1작은술|설탕:2작은술|고춧가루:1+1/2큰술|김치국물:1큰술|참기름:조금,2인분,15분 이내,초급,https://www.10000recipe.com/recipe/2469204
10,베이컨 밤말이 구이,"조회수 9,335",@,@,@,@,https://www.10000recipe.com/recipe/2469096
11,햄 두부김치,"조회수 7,482",햄|야채|김치|두부,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/2469020
12,모양틀을 이용한 주먹밥,"조회수 3,454",밥|햄,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/2468991
13,대추와인 고추장,"조회수 9,089",대추:500g|물:3L|계피|생강||시판:고추장:1kg|레드와인:1컵|꿀:1/2컵|대추고:2컵,"6인분,이상",60분 이내,중급,https://www.10000recipe.com/recipe/2468698
