,title,views,ingredients,peoples,times,levels,url
0,배추두부조림:생긴건 투박해도 그 맛은 부드럽고 달달하다오,조회수 935,알배추:잎:3~4장|두부:1모|대파:1대|계란:1개|다시육수|깨소금|다진마늘:1큰술|생강청:1작은술|고춧가루:1큰술|양조간장:1큰술|국간장:1/2큰술|후추|참기름,3인분,30분 이내,초급,https://www.10000recipe.com/recipe/6926322
1,해물짬뽕(밥):느끼한 짬뽕은 가라~,"조회수 3,912",오징어|바지락|청경채|느타리버섯|피망|양파|대파|고춧가루:1|국간장:1|액젓:1|다진마늘:1|후추|맛술:1|다시육수+쌀뜨물:4~5컵|소금|식용유:2큰술|고춧가루:1작은술,2인분,30분 이내,중급,https://www.10000recipe.com/recipe/6926320
2,촉촉~부드러운 꽈리고추찜 만들기,"조회수 1,403",꽈리고추:300g|밀가루:1T|고춧가루:1T|간장:2T|마늘:0.5T|설탕:0.5T|올리고당:0.5T|참기름:1T|통깨:약간,3인분,30분 이내,초급,https://www.10000recipe.com/recipe/6926318
3,닭볶음탕 양념 레시피 이렇게 만들어요~,"조회수 1,450",닭볶음탕용:닭고기:1.2kg|감자:2개|단호박:슬라이스:3조각|들기름:3T|맛술:2T|설탕:1T|고춧가루:2T|고추장:1.5T|간장:3T|참치액젓:1T|다진마늘:1T|올리고당:1T|후춧가루:약간,4인분,60분 이내,초급,https://www.10000recipe.com/recipe/6926317
4,파채칼 없이 파채 쉽고 간단하게 썰기 방법,"조회수 1,774",굵은:대파:2개,2인분,15분 이내,아무나,https://www.10000recipe.com/recipe/6926316
5,알배추겉절이:절이지 않고 찹쌀풀도 안쑤고...초간단으로 담그기,"조회수 4,148",알배추:1통|양파:1개|대파:1대|굵은소금:1줌|참기름:선택|통깨|고춧가루:5큰술|다진마늘:1~2큰술|생강청:1~2작은술|매실액:3큰술|양파청:2큰술|액젓:2큰술|배즙:1개,"6인분,이상",30분 이내,초급,https://www.10000recipe.com/recipe/6926315
6,쉽고 간단한 밑반찬 두부조림 황금레시피,"조회수 3,226",두부:1모|간장:2t|고춧가루:1t|설탕:1/2t|간마늘:1t|통깨:1t|파:1움큼|물:1/2컵,2인분,20분 이내,아무나,https://www.10000recipe.com/recipe/6926314
7,에어프라이어 진미채 버터구이 만들기 쉽고 간단한 안주,"조회수 3,698",진미채:2주먹|후추:약간|파슬리가루:약간|버터:3T|설탕:1t,2인분,5분 이내,아무나,https://www.10000recipe.com/recipe/6926313
8,(정월대보름)아주까리계란말이:아이들도 건나물을 맛있게 먹어요,조회수 640,아주까리나물|달걀|육수/생수/우유|식용유|소금,2인분,20분 이내,중급,https://www.10000recipe.com/recipe/6926312
9,(정월대보름)아주까리밥:별미밥 나물밥 영양밥,조회수 576,건아주까리|현미|백미|쌀뜨물|생수|들기름|국간장|대파|다진마늘|깨소금|참기름|매실액|양파액|국간장|양조간장,4인분,2시간 이상,중급,https://www.10000recipe.com/recipe/6926311
10,[초간단 간식] 어묵 치즈구이,"조회수 1,213",어묵|체다치즈|카놀라유,1인분,5분 이내,아무나,https://www.10000recipe.com/recipe/6926310
11,정원대보름/시금치김치:봄이 오기전에 서두르세요(feat.수미네반찬),"조회수 1,262",남해초:200그램|고춧가루:2.5큰술|액젓:1큰술|새우젓:1작은술|어간장:1큰술|비트:+사과즙간젓:3큰술|다진마늘:1.5작은술|물:2큰술|생강청:1직은술|딸기청:2~3큰술|통깨|시금치:3단|찹쌀풀:2국자|액젓:3큰술|어간장:3큰술|다진:육젓:2.5큰술|다진마늘:1큰술|홍고추:2개|물:150밀리,3인분,15분 이내,초급,https://www.10000recipe.com/recipe/6926309
12,꽈리고추 멸치볶음 ~*,"조회수 2,435",손질된다시:멸치:크게:1줌|통마늘:3개|물:3소주컵|맛간장:4큰술|올리고당:3큰술|다진마늘:1/2큰술|미림:2큰술|통깨|카놀라유,"6인분,이상",30분 이내,아무나,https://www.10000recipe.com/recipe/6926308
13,집에서도 근사하게! '오렌지크레이프케이크'만들기!,조회수 698,오렌지:1/2개|계란:1개|키위:1/2개|오렌지쥬스:100ml|설탕:1큰술|화이트와인:1작은술|우유:1큰술|밀가루:1큰술|휘핑크림:5큰술,2인분,20분 이내,초급,https://www.10000recipe.com/recipe/6926307
